ID,Address,First Name,Second Name,Phone,Email,User Name,Pass,Pin,User Status,Parking Slot,Node,Record Status
1,"100 Noname St, Toronto, A0A 0A0",Oliver,Smith,(416) 456-4565,OS@ggmmail,OS,O1234,1234,ON,1,2,ON
2,"100 Noname St, Toronto, A0A 0A0",George,Johnson,(647) 814-3746,GJ@ggmmail,GJ,G2345,2345,ON,2,4,ON
3,"100 Noname St, Toronto, A0A 0A0",Olivia,Willams,(647) 432-1234,OW@ggmmail,OW,O3456,3456,OFF,3,6,ON
4,"100 Noname St, Toronto, A0A 0A0",Emily,Brown,(416) 123-4567,EmilyB@ggmmail,EmilyB,Emily4567,4567,ON,4,7,ON
5,"100 Noname St, Toronto, A0A 0A0",Harry,Brown,(416) 000-0000,HB@ggmmail,HB,HB5678,5678,ON,5,2,OFF
6,"100 Noname St, Toronto, A0A 0A0",Leo,Jones,(416) 123-4567,LeoJ@ggmmail,LeoJ,Leo6789,6789,ON,6,2,ON
7,"100 Noname St, Toronto, A0A 0A0",Jack,Miller,(647) 432-1234,JMiller@ggmmail,JMIL,J7890,7890,ON,7,2,ON
8,"100 Noname St, Toronto, A0A 0A0",Grace,Miller,(416) 123-4567,Grace@ggmmail,gr,8901gr,8901,ON,1,4,ON
9,"100 Noname St, Toronto, A0A 0A0",Jacob,Miller,(647) 432-1234,JacobM@ggmmail,JacM,9012,9012,OFF,2,4,ON
10,"100 Noname St, Toronto, A0A 0A0",George,Lopez,(647) 000-0000,Lopez@ggmmail,Lop,L1000,1000,ON,3,4,ON
11,"100 Noname St, Toronto, A0A 0A0",Ivan,Ivanov,(416) 123-4567,Ivanov@ggmmail,Ivan,Ivan1100,1100,ON,4,0,ON
12,"100 Noname St, Toronto, A0A 0A0",Charlie,Jackson,(647) 432-1234,CJack@ggmmail,Cjack,1200CJ,1200,ON,5,4,ON
13,"100 Noname St, Toronto, A0A 0A0",Sophia,Jackson,(647) 432-1234,S@ggmmail,Sos,S1300,1300,ON,6,6,ON
14,"100 Noname St, Toronto, A0A 0A0",Oliver,Perez,(416) 123-4567,OPerez@ggmmail,OPPa,OP1400,1400,ON,7,6,ON
15,"100 Noname St, Toronto, A0A 0A0",Peter,Minsky,(647) 000-0000,PeterM@ggmmail,PetrM,1500Minsky,1500,ON,7,7,OFF
16,"100 Noname St, Toronto, A0A 0A0",Peter,Minsky,(647) 432-1234,PeterM@ggmmail,PetrM,1500Minsky,1500,ON,7,7,ON
